"序号","代码","名称","最新价","涨跌幅","60日涨跌幅","今开","市盈率(静)","总市值","5日涨跌幅","10日涨跌幅","20日涨跌幅","120日涨跌幅","250日涨跌幅","所属行业","昨收","最高","最低","年初至今涨跌幅"
"1","FAKC","FACEKEY CORP","0.169","905.95%","427.30%","0.169","-","-","0.00%","238.00%","528.25%","427.30%","427.30%","-","0.017","0.169","0.169","427.30%"
"2","HYHY","HYDROGEN HYBRID","0.050","185.71%","-62.96%","0.100","-","-","-50.00%","-28.57%","-50.00%","-62.96%","-62.96%","-","0.018","0.130","0.050","-62.96%"
"3","GPGC","GLOBAL POLE TRSN","1.000","121.83%","1202.08%","0.450","-","-","809.92%","1180.41%","1438.46%","1202.08%","1202.08%","-","0.451","1.450","0.450","1202.08%"
"4","POSC","POSITRON CORP","0.750","113.19%","-22.69%","0.590","-","-","20.95%","-25.01%","15.37%","-22.69%","-22.69%","-","0.352","0.750","0.560","-22.69%"
"5","LFIN","Longfin Corp.","0.250","92.31%","-75.00%","0.250","-","1863.52万","19.05%","-50.98%","-59.02%","-28.57%","-10.71%","软件-应用","0.130","0.250","0.250","-13.79%"
"6","ELALF","EL AL","0.230","91.67%","-38.67%","0.230","亏损","-","35.29%","43.75%","31.43%","-38.67%","-38.67%","-","0.120","0.230","0.230","-38.67%"
"7","PLFF","ORPHEUM PROPERTY","0.379","89.57%","344.26%","0.200","-","-","122.91%","152.63%","191.50%","344.26%","344.26%","-","0.200","0.449","0.185","344.26%"
"8","COTRP","CORTS TR J C PRF","0.150","85.17%","0.27%","0.140","-","-","37.43%","46.15%","109.80%","132.97%","0.00%","-","0.081","0.150","0.140","199.60%"
"9","CIIT","TIANCI INTERNTNL","1.470","72.94%","107.04%","1.470","亏损","-","1.38%","-2.00%","47.00%","107.04%","107.04%","-","0.850","1.470","1.470","107.04%"
"10","CBJCL","CABCO TR J C PRF","0.120","71.43%","219.15%","0.070","-","-","71.43%","99.67%","220.00%","50.00%","0.00%","-","0.070","0.120","0.070","380.00%"
"11","MMTC","MICRO IMAGING TE","0.990","57.14%","269.40%","0.680","亏损","-","-1.00%","41.43%","115.22%","269.40%","269.40%","-","0.630","0.990","0.500","269.40%"
"12","ADYX","ADYNXX INC","0.235","47.13%","-2.77%","0.235","亏损","138.53万","654.49%","54.77%","53.36%","91.23%","-42.59%","生物技术","0.160","0.235","0.235","-45.26%"
"13","SCOO","SCHOOL SPECIALTY","0.125","47.06%","11.61%","0.109","亏损","-","25.00%","9.74%","26.14%","11.61%","11.61%","-","0.085","0.125","0.093","11.61%"
"14","CGLD","BUSCAR COMPANY","0.154","46.57%","28.25%","0.100","-","-","43.16%","33.83%","2.60%","28.25%","28.25%","-","0.105","0.154","0.100","28.25%"
"15","CHSO","CHINA SHOUGUAN","0.540","44.00%","74.19%","0.375","-","-","59.43%","57.66%","42.11%","74.19%","74.19%","-","0.375","0.540","0.345","74.19%"
"16","ARSC","AMERICAN SECRTY","0.005","42.86%","-94.44%","0.005","-","-","-87.50%","-92.91%","-93.75%","-94.44%","-94.44%","-","0.004","0.005","0.005","-94.44%"
"17","PSUD","PETROSUN INC","0.120","42.86%","-9.31%","0.120","-","-","0.08%","0.08%","20.00%","-9.31%","-9.31%","-","0.084","0.120","0.120","-9.31%"
"18","SENS","Senseonics Holdings","2.910","41.95%","-5.21%","2.690","亏损","12.46亿","40.58%","38.57%","52.36%","596.01%","484.45%","诊断与研究","2.050","3.200","2.520","233.79%"
"19","DATI","DIGITL AST MNTRY","0.390","41.82%","116.67%","0.390","-","-","62.50%","116.67%","122.98%","116.67%","116.67%","-","0.275","0.410","0.290","116.67%"
"20","CERPQ","CEREPLAST INC","0.309","40.45%","162.53%","0.220","-","-","-16.49%","54.50%","76.57%","162.53%","162.53%","-","0.220","0.320","0.190","162.53%"
"21","HPST","HEMPSTRACT ORD","0.210","40.45%","-28.33%","0.150","-","-","138.10%","27.27%","-41.99%","-28.33%","-28.33%","-","0.150","0.230","0.149","-28.33%"
"22","PRXIQ","Premier Exhibitions","0.0200","39.86%","-20.00%","0.0271","-","-","-33.55%","14.29%","-42.86%","314.94%","100.00%","-","0.0143","0.0271","0.0140","150.00%"
"23","MPIR","EMPRE DVRFD ENGY","0.490","39.60%","16.67%","0.490","亏损","-","22.50%","22.50%","8.89%","16.67%","16.67%","-","0.351","0.490","0.490","16.67%"
"24","NUBC","NORTHUMBERLAND","48.000","38.73%","39.74%","37.250","-","-","38.73%","40.56%","37.14%","39.74%","39.74%","-","34.600","48.000","37.250","39.74%"
"25","DXR","Daxor Corp.","13.150","37.55%","8.44%","9.900","亏损","5304.55万","34.36%","35.57%","39.65%","4.53%","-3.24%","医疗器械及用品","9.560","13.460","9.250","5.20%"
"26","AMSC","美国超导","17.540","37.46%","-28.14%","13.220","亏损","4.91亿","17.64%","18.83%","20.55%","-10.87%","113.12%","特种工业机械","12.760","18.500","13.220","-25.11%"
"27","WINT","Windtree Therapeutics Inc","2.700","36.36%","-33.17%","2.530","亏损","7089.41万","50.00%","59.76%","27.96%","-54.70%","-61.65%","生物技术","1.980","3.400","2.440","-47.37%"
"28","FTEK","燃料技术","2.930","36.28%","-13.82%","2.200","亏损","8867.29万","43.63%","40.19%","46.50%","-25.82%","253.22%","污染和处理控制","2.150","3.220","2.155","-24.48%"
"29","LEDS","旭明光电股份有限公司","20.500","35.76%","335.24%","18.870","亏损","8318.54万","114.88%","158.84%","100.59%","565.58%","540.63%","半导体","15.100","28.800","18.100","472.63%"
"30","AHIX","ALUF HOLDING ORD","0.180","35.34%","50.00%","0.150","-","-","20.00%","-51.35%","-61.70%","50.00%","50.00%","-","0.133","0.180","0.133","50.00%"
"31","GADS","Gadsden Growth Properties","0.058","34.88%","44.64%","0.040","亏损","2119.06万","-3.33%","9.43%","-3.33%","45.00%","-1.37%","-","0.043","0.058","0.040","13.05%"
"32","GMOLQ","GENERAL MOLY ORD","0.007","34.62%","-46.15%","0.007","亏损","-","-8.56%","-23.54%","-17.65%","-76.67%","-76.67%","-","0.005","0.009","0.006","-76.67%"
"33","YIPI","YIPPY INC","0.200","34.43%","-27.83%","0.170","-","-","62.52%","21.52%","-0.05%","-27.83%","-27.83%","-","0.149","0.235","0.126","-27.83%"
"34","HLTT","HEALTHTECH ORD","1.000","33.33%","-41.18%","0.750","亏损","-","-4.76%","0.00%","-20.00%","-41.18%","-41.18%","-","0.750","1.100","0.750","-41.18%"
"35","CYAP","CYBER APPS WORLD","0.017","32.31%","-84.41%","0.015","亏损","-","102.35%","117.72%","-21.82%","-84.41%","-84.41%","-","0.013","0.018","0.012","-84.41%"
"36","LWLG","LIGHTWAVE LOGIC","3.240","32.24%","101.87%","2.550","亏损","3.36亿","96.36%","109.03%","107.69%","101.87%","101.87%","特种化学品","2.450","3.660","2.490","101.87%"
"37","OILRF","OIL REFRINERIES","0.290","31.28%","44.93%","0.290","亏损","-","31.28%","25.00%","3.57%","44.93%","44.93%","-","0.221","0.290","0.290","44.93%"
"38","MSSV","MESO NUMISMATICS","0.130","29.50%","-28.06%","0.108","亏损","-","0.36%","-1.52%","-13.23%","-28.06%","-28.06%","-","0.100","0.130","0.100","-28.06%"
"39","TRNF","Taronis Fuels Inc.","5.500","28.21%","38.54%","4.490","亏损","5474.17万","38.54%","52.78%","52.57%","-37.27%","-35.10%","公用事业-可再生","4.290","5.740","4.450","14.58%"
"40","IDND","INTL DISPENSING","0.140","27.60%","-22.02%","0.140","-","-","-3.53%","11.01%","-33.13%","-22.02%","-22.02%","-","0.110","0.140","0.140","-22.02%"
"41","DSLVF","VelocityShares 3x Inverse Silver ETN","1.200","26.98%","-8.40%","1.260","-","-","20.00%","20.00%","-20.00%","-42.86%","-85.00%","-","0.945","1.260","1.200","-20.00%"
"42","ENZC","Enzolytics Inc.","0.228","26.67%","-33.91%","0.186","-","-","93.22%","100.00%","98.26%","-13.96%","-13.96%","-","0.180","0.228","0.178","-13.96%"
"43","LPHM","LEE PHARMA","0.190","26.67%","-37.28%","0.150","-","-","11.76%","55.74%","-36.67%","-37.28%","-37.28%","-","0.150","0.250","0.150","-37.28%"
"44","MAWHY","敏华控股(ADR)","51.760","26.24%","26.75%","51.760","40.155","-","26.24%","26.24%","26.24%","33.75%","228.80%","-","41.000","51.760","51.760","33.44%"
"45","BBIG","VINCO VENTURES INC","4.200","26.13%","50.00%","3.880","亏损","1.17亿","27.27%","24.63%","91.78%","191.67%","85.02%","休闲","3.330","5.240","3.740","206.57%"
"46","BXNG","BANG HLDGS CORP","0.454","26.11%","19.47%","0.454","亏损","-","-0.11%","9.45%","10.73%","19.47%","19.47%","-","0.360","0.454","0.340","19.47%"
"47","GTVH","GOLDEN TRNGL ORD","0.239","25.79%","-63.23%","0.210","-","-","-0.38%","-16.11%","-49.15%","-63.23%","-63.23%","-","0.190","0.240","0.175","-63.23%"
"48","RESN","Resonant","4.070","25.62%","-11.71%","3.300","亏损","2.46亿","19.35%","40.34%","39.38%","91.98%","49.08%","半导体","3.240","4.140","3.270","53.58%"
"49","LASLY","联拓集团","0.012","25.00%","50.00%","0.010","-","39.08万","4.35%","25.00%","50.00%","263.64%","11900.00%","汽车和卡车经销商","0.010","0.013","0.010","328.57%"
"50","CLCS","CELL SOURCE INC","2.000","25.00%","50.38%","1.650","亏损","-","25.00%","16.96%","50.94%","50.38%","50.38%","-","1.600","2.100","1.650","50.38%"
"51","MSLP","MUSCLEPHARM CORP","1.450","25.00%","0.69%","1.200","18.125","4854.58万","11.54%","14.17%","27.19%","0.69%","0.69%","包装食品","1.160","1.500","1.180","0.69%"
"52","NIKLF","NICKEL ROCK ORD","0.100","24.75%","-20.16%","0.076","亏损","-","13.67%","33.78%","-6.38%","-20.16%","-20.16%","-","0.080","0.112","0.076","-20.16%"
"53","GLMD","Galmed Pharmaceuticals Ltd.","3.400","24.09%","2.10%","2.860","亏损","8528.53万","29.28%","30.77%","28.30%","-2.58%","-37.15%","生物技术","2.740","3.450","2.860","9.32%"
"54","NEVPF","ABLIVA AB ORD","0.117","23.02%","-0.59%","0.099","亏损","-","64.06%","38.00%","15.00%","-0.59%","-0.59%","-","0.095","0.117","0.099","-0.59%"
"55","FDCT","FDCTECH INC","0.350","22.81%","105.88%","0.275","亏损","2920.59万","66.59%","75.00%","89.19%","105.88%","105.88%","资本市场","0.285","0.379","0.271","105.88%"
"56","JZXN","九紫新能","13.750","22.77%","-69.44%","11.000","79.479","2.78亿","49.62%","85.31%","-69.44%","-69.44%","-69.44%","汽车和卡车经销商","11.200","14.000","11.000","-69.44%"
"57","BASWW","BASC ENRG SRV WT","0.019","22.70%","-76.69%","0.019","-","-","-6.75%","-6.75%","-39.84%","174.26%","-6.75%","-","0.015","0.019","0.019","-27.71%"
"58","RHE","Regional Health Properties, Inc.","14.660","22.37%","180.84%","12.150","亏损","2474.93万","13.82%","32.19%","-2.14%","804.94%","939.72%","医疗设施","11.980","18.270","11.560","309.50%"
"59","UMAV","UAV CORP ORD","0.110","22.22%","-25.42%","0.118","-","-","10.00%","-24.40%","-26.67%","-25.42%","-25.42%","-","0.090","0.118","0.110","-25.42%"
"60","IQEPF","IQE PLC","0.800","22.11%","-11.11%","0.800","亏损","-","23.08%","0.00%","2.17%","-11.11%","-11.11%","-","0.655","0.800","0.800","-11.11%"
"61","HUML","HUMBLE ENERGY","0.610","22.00%","-48.31%","0.401","-","-","-32.22%","-37.76%","-42.45%","-48.31%","-48.31%","-","0.500","0.610","0.401","-48.31%"
"62","LPTH","LightPath Technologies, Inc.","2.850","21.79%","-18.10%","2.350","95.000","7449.41万","21.79%","20.25%","4.78%","-8.36%","4.78%","电子元件","2.340","3.240","2.350","-27.30%"
"63","GTMAY","GRUPO TMM ADR","0.923","21.77%","12.08%","0.923","亏损","-","13.11%","27.84%","23.89%","12.08%","12.08%","-","0.758","0.923","0.923","12.08%"
"64","ILUS","ILUSTRATO PICTUR","0.068","21.43%","-28.42%","0.064","-","-","34.65%","-8.17%","-7.23%","-28.42%","-28.42%","-","0.056","0.068","0.056","-28.42%"
"65","PIXY","ShiftPixy, Inc.","3.450","21.05%","29.70%","2.870","亏损","7215.55万","33.72%","36.36%","14.62%","41.39%","-43.99%","人员配置和就业服务","2.850","3.850","2.810","38.55%"
"66","DSGT","DSG GLOBAL INC","0.230","21.05%","-42.50%","0.202","亏损","-","9.52%","6.78%","-11.68%","-42.50%","-42.50%","-","0.190","0.230","0.190","-42.50%"
"67","OMID","OMID HLDGS ORD","0.078","20.83%","-22.40%","0.069","-","-","24.48%","22.97%","-7.88%","-22.40%","-22.40%","-","0.065","0.086","0.069","-22.40%"
"68","BIDCF","BLOCKCHAINK2 CRP","0.595","20.75%","-27.54%","0.595","亏损","-","34.92%","37.73%","-2.79%","-27.54%","-27.54%","-","0.493","0.595","0.595","-27.54%"
"69","ERINQ","ERIN ENERGY CORP","0.0095","20.63%","14.46%","0.0095","亏损","-","17.28%","53.23%","-52.50%","280.00%","1087.50%","-","0.0079","0.0095","0.0095","533.33%"
"70","AKTAF","AKITA DRILLING N","0.965","20.63%","24.03%","0.965","亏损","-","30.84%","23.72%","28.67%","24.03%","24.03%","-","0.800","0.965","0.965","24.03%"
"71","GOOXF","GIVOT OLAM OIL","0.409","20.38%","-8.02%","0.409","亏损","-","22.18%","22.18%","22.18%","-8.02%","-8.02%","-","0.340","0.409","0.409","-8.02%"
"72","NCTY","第九城市","13.150","20.20%","-74.44%","13.100","1.184","2.13亿","6.82%","-7.78%","-26.82%","316.14%","82.64%","电子游戏与多媒体","10.940","16.250","12.400","271.47%"
"73","HOMU","HOUMU HLDGS ORD","0.460","20.10%","31.43%","0.356","-","-","-29.23%","21.05%","9.52%","31.43%","31.43%","-","0.383","0.490","0.356","31.43%"
"74","MOSY","正一科技","9.110","20.03%","156.62%","8.227","亏损","5588.73万","99.78%","66.54%","133.59%","452.12%","455.49%","半导体","7.590","10.750","7.920","273.36%"
"75","SND","Smart Sand, Inc.","3.300","20.00%","8.91%","2.760","3.510","1.43亿","27.91%","41.03%","43.48%","50.68%","108.86%","石油和天然气设备和服务","2.750","4.160","2.738","91.86%"
"76","SDVI","SIGNATURE DEVICE","0.001","20.00%","20.00%","0.001","-","-","-20.00%","-25.00%","-14.29%","0.00%","0.00%","-","0.001","0.001","0.001","0.00%"
"77","VTEQ","VERITEQ CORPORAT","0.300","20.00%","4.71%","0.300","-","-","109.64%","48.51%","100.00%","4.71%","4.71%","-","0.250","0.300","0.300","4.71%"
"78","UMGP","UNIVERSAL MEDIA","0.180","20.00%","24.91%","0.185","-","-","10.40%","25.00%","0.00%","24.91%","24.91%","-","0.150","0.290","0.160","24.91%"
"79","BDL","Flanigan's Enterprises, Inc.","35.500","19.91%","48.47%","30.093","59.166","6598.20万","40.32%","47.61%","49.04%","86.84%","104.61%","饭馆","29.605","36.622","29.680","79.66%"
